,name,rating,interlinking,highly_rated,critical_rated,number_of_reviews,number_of_jobs
0,TCS,3.8,IT Services & Consulting | 1 Lakh+ Employees | Public | 56 years old | Mumbai +345 more,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits",74.5k,857
1,Accenture,4,IT Services & Consulting | 1 Lakh+ Employees | Public | 35 years old | Dublin +177 more,"Company Culture, Skill Development / Learning, Job Security",,47.2k,23.3k
2,Cognizant,3.9,IT Services & Consulting | 1 Lakh+ Employees | Forbes Global 2000 | 30 years old | Teaneck. New Jersey. +163 more,Skill Development / Learning,Promotions / Appraisal,42.6k,387
3,Wipro,3.8,IT Services & Consulting | 1 Lakh+ Employees | Public | 79 years old | Bangalore/Bengaluru +277 more,Job Security,"Promotions / Appraisal, Salary & Benefits",40.1k,268
4,Capgemini,3.9,IT Services & Consulting | 1 Lakh+ Employees | Public | 57 years old | Paris +142 more,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",34.6k,690
5,HDFC Bank,4,Banking | 1 Lakh+ Employees | Public | 30 years old | Mumbai +1550 more,"Job Security, Skill Development / Learning",Promotions / Appraisal,34.4k,189
6,ICICI Bank,4,Banking | 1 Lakh+ Employees | Public | 30 years old | Mumbai +1286 more,"Job Security, Skill Development / Learning, Company Culture",,34.1k,44
7,Infosys,3.8,IT Services & Consulting | 1 Lakh+ Employees | Public | 43 years old | Bengaluru/Bangalore +182 more,"Job Security, Company Culture, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal",32.4k,1.1k
8,HCLTech,3.7,IT Services & Consulting | 1 Lakh+ Employees | Public | 33 years old | Noida +183 more,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",29.1k,311
9,Tech Mahindra,3.7,IT Services & Consulting | 1 Lakh+ Employees | Public | 38 years old | Pune +269 more,,"Promotions / Appraisal, Salary & Benefits",28.1k,869
10,Genpact,3.9,IT Services & Consulting | 1 Lakh+ Employees | Public | 27 years old | New York +112 more,"Job Security, Skill Development / Learning, Work Life Balance","Salary & Benefits, Promotions / Appraisal",26.6k,582
11,Axis Bank,3.9,Banking | 50k-1 Lakh Employees | Public | 31 years old | Mumbai +1306 more,Job Security,,22.4k,154
12,Teleperformance,3.6,BPO | 50k-1 Lakh Employees | Forbes Global 2000 | 46 years old | Paris +184 more,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",22.4k,344
13,Concentrix Corporation,3.9,BPO | 50k-1 Lakh Employees | Public | 41 years old | Fremont +117 more,"Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits",22.2k,64
14,Jio,4,Telecom | 50k-1 Lakh Employees | Public | 17 years old | Navi Mumbai +1172 more,"Job Security, Skill Development / Learning",Promotions / Appraisal,20.9k,124
15,Amazon,4.1,Internet | 1 Lakh+ Employees | Public | 30 years old | Seattle +449 more,"Company Culture, Salary & Benefits, Work Life Balance",,20.9k,200
16,IBM,4.1,IT Services & Consulting | 1 Lakh+ Employees | Public | 113 years old | Armonk +147 more,"Work Life Balance, Job Security, Skill Development / Learning",Promotions / Appraisal,20k,2.5k
17,Reliance Retail,4,Retail | 1 Lakh+ Employees | 18 years old | Navi Mumbai +1004 more,"Skill Development / Learning, Job Security",Promotions / Appraisal,19.1k,126
18,HDB Financial Services,4,NBFC | 1 Lakh+ Employees | 17 years old | Ahmedabad +954 more,"Skill Development / Learning, Job Security, Company Culture",Promotions / Appraisal,18.4k,152
19,Larsen & Toubro Limited,4.1,Engineering & Construction | 10k-50k Employees | Public | 86 years old | Mumbai +626 more,"Job Security, Skill Development / Learning",,16.8k,141
20,Vodafone Idea,4.2,Telecom | 5k-10k Employees | Public | 6 years old | Mumbai +641 more,"Company Culture, Work Life Balance, Salary & Benefits",,15.5k,9
21,BYJU'S,3.1,EdTech | 10k-50k Employees | Indian Unicorn | 13 years old | Bangalore +306 more,,"Job Security, Work Life Balance, Company Culture",14.9k,534
22,Kotak Mahindra Bank,3.9,Banking | 50k-1 Lakh Employees | Public | 21 years old | Mumbai +569 more,Job Security,Promotions / Appraisal,14.5k,28
23,Deloitte,3.9,Management Consulting | 1 Lakh+ Employees | 179 years old | London +149 more,"Job Security, Salary & Benefits, Skill Development / Learning",,14.1k,81
24,Reliance Industries,4.1,Oil & Gas | 1 Lakh+ Employees | Public | 47 years old | Navi Mumbai +686 more,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal,13.9k,13
25,iEnergizer,4.7,BPO | 10k-50k Employees | 24 years old | Noida +30 more,"Company Culture, Job Security, Skill Development / Learning",,14.3k,302
26,Bharti Airtel,4.1,Telecom | 10k-50k Employees | Public | 29 years old | Gurgaon/Gurugram +662 more,"Skill Development / Learning, Job Security, Company Culture",,12.4k,156
